Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,W,,Jan-00,,Arizona Cardinals,27,24,366,299,67,2,390,304,86,2,
2,Sun,15-Sep,L,,1-Jan,@,Atlanta Falcons,24,31,421,352,69,1,393,357,36,,
3,Sun,22-Sep,L,,2-Jan,@,Dallas Cowboys,7,31,232,197,35,1,396,203,193,1,
4,Thu,26-Sep,L,,3-Jan,,San Francisco 49ers,11,35,188,170,18,2,370,151,219,2,
5,Sun,6-Oct,W,,3-Feb,,Jacksonville Jaguars,34,20,351,208,143,,363,267,96,3,
6,Sun,13-Oct,W,,3-Mar,@,Houston Texans,38,13,216,117,99,,420,267,153,4,
7,Sun,20-Oct,L,,4-Mar,@,Carolina Panthers,15,30,317,254,63,3,282,180,102,,
8,Mon,28-Oct,L,,5-Mar,,Seattle Seahawks,9,14,339,139,200,2,135,91,44,,
9,Sun,3-Nov,L,,6-Mar,,Tennessee Titans,21,28,363,203,160,2,363,165,198,2,
10,Sun,10-Nov,W,,6-Apr,@,Indianapolis Colts,38,8,372,232,140,1,406,388,18,5,
11,,,,,,,Bye Week,,,,,,,,,,,
12,Sun,24-Nov,W,,6-May,,Chicago Bears,42,21,406,148,258,,424,344,80,3,
13,Sun,1-Dec,L,,7-May,@,San Francisco 49ers,13,23,312,198,114,1,338,255,83,1,
14,Sun,8-Dec,L,,8-May,@,Arizona Cardinals,10,30,257,157,100,2,369,262,107,1,
15,Sun,15-Dec,W,,8-Jun,,New Orleans Saints,27,16,302,158,144,,432,371,61,3,
16,Sun,22-Dec,W,,8-Jul,,Tampa Bay Buccaneers,23,13,277,148,129,2,170,111,59,2,
17,Sun,29-Dec,L,,9-Jul,@,Seattle Seahawks,9,27,158,145,13,2,269,158,111,,
