Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,W,0,Jan-00,@,Tampa Bay Buccaneers,31,17,256,158,98,2,295,174,121,4,0
2,Sun,15-Sep,W,1,Feb-00,@,Cincinnati Bengals,41,17,571,312,259,1,316,291,25,1,0
3,Sun,22-Sep,W,2,Mar-00,,Pittsburgh Steelers,24,20,436,268,168,5,239,160,79,2,0
4,,,,,,,Bye Week,,,,,,,,,,,
5,Mon,7-Oct,W,3,Apr-00,,Cleveland Browns,31,3,446,171,275,,180,78,102,4,1
6,Sun,13-Oct,W,4,May-00,@,Los Angeles Rams,20,7,331,232,99,2,157,48,109,1,0
7,Sun,20-Oct,W,5,Jun-00,@,Washington Redskins,9,0,283,146,137,1,154,50,104,1,0
8,Sun,27-Oct,W,6,Jul-00,,Carolina Panthers,51,13,388,156,232,1,230,100,130,3,0
9,Thu,31-Oct,W,7,Aug-00,@,Arizona Cardinals,28,25,411,310,101,,357,204,153,,0
10,Mon,11-Nov,L,8,1-Aug,,Seattle Seahawks,24,27,302,215,87,3,336,189,147,4,0
11,Sun,17-Nov,W,8,1-Sep,,Arizona Cardinals,36,26,442,408,34,2,266,131,135,2,0
12,Sun,24-Nov,W,9,1-Oct,,Green Bay Packers,37,8,339,227,112,,198,81,117,1,0
13,Sun,1-Dec,L,10,2-Oct,@,Baltimore Ravens,17,20,331,157,174,1,283,105,178,1,0
14,Sun,8-Dec,W,10,2-Nov,@,New Orleans Saints,48,46,516,354,162,1,465,349,116,1,0
15,Sun,15-Dec,L,11,3-Nov,,Atlanta Falcons,22,29,313,193,120,2,290,201,89,1,0
16,Sat,21-Dec,W,11,3-Dec,,Los Angeles Rams,34,31,334,215,119,2,395,323,72,1,0
17,Sun,29-Dec,W,12,13-3,@,Seattle Seahawks,26,21,398,270,128,,348,223,125,,0
18,Sat,11-Jan,W,13,14-3,,Minnesota Vikings,27,10,308,122,186,2,147,126,21,2,0
19,Sun,19-Jan,W,14,15-3,,Green Bay Packers,37,20,354,69,285,,358,296,62,3,0
20,Sun,2-Feb,L,15,15-4,N,Kansas City Chiefs,20,31,351,210,141,2,397,268,129,2,0
