Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,10-Sep,W,,Jan-00,@,Oakland Raiders,33,13,365,225,140,,395,300,95,3,
2,Sun,16-Sep,W,,Feb-00,,Arizona Cardinals,34,0,432,342,90,1,137,83,54,1,
3,Sun,23-Sep,W,,Mar-00,,Los Angeles Chargers,35,23,521,350,171,2,356,215,141,2,
4,Thu,27-Sep,W,,Apr-00,,Minnesota Vikings,38,31,556,456,100,,446,392,54,1,
5,Sun,7-Oct,W,,May-00,@,Seattle Seahawks,33,31,468,313,155,2,373,183,190,,
6,Sun,14-Oct,W,,Jun-00,@,Denver Broncos,23,20,444,174,270,1,357,297,60,1,
7,Sun,21-Oct,W,,Jul-00,@,San Francisco 49ers,39,10,339,193,146,,228,121,107,4,
8,Sun,28-Oct,W,,Aug-00,,Green Bay Packers,29,27,416,281,135,,359,253,106,1,
9,Sun,4-Nov,L,,1-Aug,@,New Orleans Saints,35,45,483,391,92,1,487,346,141,1,
10,Sun,11-Nov,W,,1-Sep,,Seattle Seahawks,36,31,456,307,149,,414,141,273,1,
11,Mon,19-Nov,W,,1-Oct,,Kansas City Chiefs,54,51,455,379,76,2,546,448,98,5,
12,,,,,,,Bye Week,,,,,,,,,,,
13,Sun,2-Dec,W,,1-Nov,@,Detroit Lions,30,16,344,195,149,2,310,208,102,2,
14,Sun,9-Dec,L,,2-Nov,@,Chicago Bears,6,15,214,162,52,4,294,100,194,3,
15,Sun,16-Dec,L,,3-Nov,,Philadelphia Eagles,23,30,407,325,82,3,381,270,111,1,
16,Sun,23-Dec,W,,3-Dec,@,Arizona Cardinals,31,9,461,192,269,1,263,159,104,,
17,Sun,30-Dec,W,,13-3,,San Francisco 49ers,48,32,377,222,155,,391,264,127,4,
18,Sat,12-Jan,W,,14-3,,Dallas Cowboys,30,22,459,186,273,,308,258,50,,
19,Sun,20-Jan,W,OT,15-3,@,New Orleans Saints,26,23,378,301,77,1,290,242,48,1,
20,Sun,3-Feb,L,,15-4,N,New England Patriots,3,13,260,198,62,1,407,253,154,1,
