Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Mon,14-Sep,W,0,Jan-00,,Minnesota Vikings,20,3,395,165,230,1,248,177,71,1,0
2,Sun,20-Sep,L,1,1-Jan,@,Pittsburgh Steelers,18,43,409,298,111,1,453,369,84,,0
3,Sun,27-Sep,L,1,2-Jan,@,Arizona Cardinals,7,47,156,53,103,4,446,307,139,1,0
4,Sun,4-Oct,L,1,3-Jan,,Green Bay Packers,3,17,196,119,77,1,362,200,162,,0
5,Sun,11-Oct,L,1,4-Jan,@,New York Giants,27,30,380,256,124,,525,441,84,1,0
6,Sun,18-Oct,W,1,4-Feb,,Baltimore Ravens,25,20,391,326,65,,420,343,77,2,0
7,Thu,22-Oct,L,2,5-Feb,,Seattle Seahawks,3,20,142,81,61,,388,212,176,2,0
8,Sun,1-Nov,L,2,6-Feb,@,St. Louis Rams,6,27,189,151,38,,388,191,197,1,0
9,Sun,8-Nov,W,2,6-Mar,,Atlanta Falcons,17,16,318,185,133,2,302,285,17,,0
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,22-Nov,L,3,7-Mar,@,Seattle Seahawks,13,29,306,247,59,,508,253,255,,1
12,Sun,29-Nov,L,3,8-Mar,,Arizona Cardinals,13,19,368,301,67,2,337,267,70,,0
13,Sun,6-Dec,W,3,8-Apr,@,Chicago Bears,26,20,291,170,121,,364,194,170,1,0
14,Sun,13-Dec,L,4,9-Apr,@,Cleveland Browns,10,24,221,150,71,,481,251,230,2,0
15,Sun,20-Dec,L,4,10-Apr,,Cincinnati Bengals,14,24,318,263,55,4,242,174,68,1,0
16,Sun,27-Dec,L,4,11-Apr,@,Detroit Lions,17,32,322,201,121,1,371,284,87,,0
17,Sun,3-Jan,W,4,11-May,,St. Louis Rams,19,16,458,350,108,1,364,231,133,,0
