Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Thu,9-Sep,W,,Jan-00,,Minnesota Vikings,14,9,308,229,79,,253,162,91,1,
2,Mon,20-Sep,W,,Feb-00,@,San Francisco 49ers,25,22,287,237,50,,417,275,142,4,
3,Sun,26-Sep,L,OT,1-Feb,,Atlanta Falcons,24,27,398,355,43,3,417,215,202,1,
4,Sun,3-Oct,W,,1-Mar,,Carolina Panthers,16,14,383,262,121,2,251,133,118,1,
5,Sun,10-Oct,L,,2-Mar,@,Arizona Cardinals,20,30,358,273,85,4,194,153,41,1,
6,Sun,17-Oct,W,,2-Apr,@,Tampa Bay Buccaneers,31,6,475,263,212,1,277,235,42,1,
7,Sun,24-Oct,L,,3-Apr,,Cleveland Browns,17,30,394,336,58,4,210,85,125,,
8,Sun,31-Oct,W,,3-May,,Pittsburgh Steelers,20,10,318,288,30,2,279,171,108,2,
9,Sun,7-Nov,W,,3-Jun,@,Carolina Panthers,34,3,408,243,165,1,195,68,127,2,
10,,,,,,,Bye Week,,,,,,,,,,,
11,Sun,21-Nov,W,,3-Jul,,Seattle Seahawks,34,19,494,382,112,2,424,366,58,2,
12,Thu,25-Nov,W,,3-Aug,@,Dallas Cowboys,30,27,414,333,81,2,457,313,144,3,
13,Sun,5-Dec,W,,3-Sep,@,Cincinnati Bengals,34,30,436,290,146,1,311,215,96,,
14,Sun,12-Dec,W,,3-Oct,,St. Louis Rams,31,13,345,213,132,3,327,191,136,3,
15,Sun,19-Dec,L,,4-Oct,@,Baltimore Ravens,24,30,269,242,27,1,356,148,208,,
16,Mon,27-Dec,W,,4-Nov,@,Atlanta Falcons,17,14,368,296,72,2,215,140,75,2,
17,Sun,2-Jan,L,,5-Nov,,Tampa Bay Buccaneers,13,23,305,199,106,3,317,233,84,2,
18,Sat,8-Jan,L,,6-Nov,@,Seattle Seahawks,36,41,474,397,77,1,415,265,150,1,
