Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye,,,,,,
1,Sun,11-Sep,1:05PM ET,boxscore,L,,0-1,,Oakland Raiders,34,35,27,507,419,88,1,25,486,319,167,,25.79,-24.52,-7.78
2,Sun,18-Sep,1:03PM ET,boxscore,L,,0-2,@,New York Giants,13,16,16,288,247,41,,22,417,353,64,3,-3.72,2.94,-1.95
3,Mon,26-Sep,8:30PM ET,boxscore,L,,0-3,,Atlanta Falcons,32,45,32,474,359,115,2,26,442,225,217,,12.19,-29.68,1.52
4,Sun,2-Oct,4:25PM ET,boxscore,W,,3-Jan,@,San Diego Chargers,35,34,21,275,192,83,2,21,346,308,38,3,2.87,-0.8,-0.15
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,16-Oct,1:03PM ET,boxscore,W,,3-Feb,,Carolina Panthers,41,38,23,523,460,63,1,32,406,303,103,2,22.49,-19.19,-0.27
7,Sun,23-Oct,1:03PM ET,boxscore,L,,4-Feb,@,Kansas City Chiefs,21,27,27,463,359,104,2,20,326,214,112,,8.79,-10.51,-0.37
8,Sun,30-Oct,1:03PM ET,boxscore,W,,4-Mar,,Seattle Seahawks,25,20,28,375,252,123,1,15,359,285,74,1,6.08,-2.63,-1.04
9,Sun,6-Nov,4:05PM ET,boxscore,W,,4-Apr,@,San Francisco 49ers,41,23,29,571,323,248,,19,486,393,93,4,29.46,3.2,-11.54
10,Sun,13-Nov,1:00PM ET,boxscore,L,,5-Apr,,Denver Broncos,23,25,19,373,293,80,4,24,337,234,103,2,0.99,1.05,-2.07
11,Thu,17-Nov,8:25PM ET,boxscore,L,,6-Apr,@,Carolina Panthers,20,23,28,371,264,107,2,17,223,173,50,,6.16,4.79,-11.38
12,Sun,27-Nov,1:00PM ET,boxscore,W,,6-May,,Los Angeles Rams,49,21,27,555,346,209,1,13,247,178,69,2,29.28,9.75,-10.18
13,Sun,4-Dec,1:00PM ET,boxscore,L,,7-May,,Detroit Lions,13,28,20,369,319,50,3,24,422,337,85,,-2.06,-14.73,1.51
14,Sun,11-Dec,4:25PM ET,boxscore,L,,8-May,@,Tampa Bay Buccaneers,11,16,14,294,248,46,3,21,270,166,104,,-8.92,-2.32,5.28
15,Sun,18-Dec,4:05PM ET,boxscore,W,,8-Jun,@,Arizona Cardinals,48,41,33,488,358,130,1,26,425,309,116,2,19.35,-20.85,9.15
16,Sat,24-Dec,4:25PM ET,boxscore,W,,8-Jul,,Tampa Bay Buccaneers,31,24,25,417,294,123,,23,349,260,89,2,17.6,-10.41,1.31
17,Sun,1-Jan,4:25PM ET,boxscore,L,,9-Jul,@,Atlanta Falcons,32,38,26,473,341,132,1,25,465,323,142,,15.33,-26.48,2.55
,,,,,,,,,,,,,,,,,,,,,,,,
