Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,8-Sep,W,,Jan-00,@,Carolina Panthers,12,7,370,300,70,1,253,119,134,2,
2,Sun,15-Sep,W,,Feb-00,,San Francisco 49ers,29,3,290,118,172,1,207,107,100,5,
3,Sun,22-Sep,W,,Mar-00,,Jacksonville Jaguars,45,17,479,323,156,2,265,214,51,3,
4,Sun,29-Sep,W,OT,Apr-00,@,Houston Texans,23,20,270,91,179,2,476,325,151,3,
5,Sun,6-Oct,L,,1-Apr,@,Indianapolis Colts,28,34,423,205,218,2,317,208,109,2,
6,Sun,13-Oct,W,,1-May,,Tennessee Titans,20,13,404,253,151,2,223,157,66,2,
7,Thu,17-Oct,W,,1-Jun,@,Arizona Cardinals,34,22,344,209,135,2,234,204,30,2,
8,Mon,28-Oct,W,,1-Jul,@,St. Louis Rams,14,9,135,91,44,,339,139,200,2,
9,Sun,3-Nov,W,OT,1-Aug,,Tampa Bay Buccaneers,27,24,415,217,198,3,350,145,205,,
10,Sun,10-Nov,W,,1-Sep,@,Atlanta Falcons,33,10,490,279,211,,226,162,64,1,
11,Sun,17-Nov,W,,1-Oct,,Minnesota Vikings,41,20,323,230,93,,336,204,132,4,
12,,,,,,,Bye Week,,,,,,,,,,,
13,Mon,2-Dec,W,,1-Nov,,New Orleans Saints,34,7,429,302,127,,188,144,44,1,
14,Sun,8-Dec,L,,2-Nov,@,San Francisco 49ers,17,19,264,178,86,1,318,155,163,1,
15,Sun,15-Dec,W,,2-Dec,@,New York Giants,23,0,327,193,134,1,181,156,25,5,
16,Sun,22-Dec,L,,3-Dec,,Arizona Cardinals,10,17,192,89,103,2,307,168,139,4,
17,Sun,29-Dec,W,,13-3,,St. Louis Rams,27,9,269,158,111,,158,145,13,2,
18,Sat,11-Jan,W,,14-3,,New Orleans Saints,23,15,277,103,174,,409,301,108,1,
19,Sun,19-Jan,W,,15-3,,San Francisco 49ers,23,17,308,193,115,1,308,147,161,3,
20,Sun,2-Feb,W,,16-3,N,Denver Broncos,43,8,341,206,135,,306,279,27,4,
