Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,T,OT,0-0-1,@,Cleveland Browns,21,21,472,313,159,6,327,150,177,1,
2,Sun,16-Sep,L,,0-1-1,,Kansas City Chiefs,37,42,475,442,33,,449,322,127,1,
3,Mon,24-Sep,W,,1/1/2001,@,Tampa Bay Buccaneers,30,27,413,335,78,1,455,392,63,4,
4,Sun,30-Sep,L,,1/2/2001,,Baltimore Ravens,14,26,284,265,19,2,451,355,96,1,
5,Sun,7-Oct,W,,2/2/2001,,Atlanta Falcons,41,17,381,250,131,1,324,262,62,1,
6,Sun,14-Oct,W,,3/2/2001,@,Cincinnati Bengals,28,21,481,369,112,,275,213,62,,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Sun,28-Oct,W,,4/2/2001,,Cleveland Browns,33,18,421,253,168,2,237,163,74,1,
9,Sun,4-Nov,W,,5/2/2001,@,Baltimore Ravens,23,16,395,282,113,,265,204,61,,
10,Thu,8-Nov,W,,6/2/2001,,Carolina Panthers,52,21,457,319,138,,242,147,95,2,
11,Sun,18-Nov,W,,7/2/2001,@,Jacksonville Jaguars,20,16,323,297,26,3,243,64,179,1,
12,Sun,25-Nov,L,,7/3/2001,@,Denver Broncos,17,24,527,452,75,4,308,184,124,,
13,Sun,2-Dec,L,,7/4/2001,,Los Angeles Chargers,30,33,336,271,65,1,371,286,85,,
14,Sun,9-Dec,L,,7/5/2001,@,Oakland Raiders,21,24,340,300,40,1,354,299,55,1,
15,Sun,16-Dec,W,,8/5/2001,,New England Patriots,17,10,376,218,158,2,368,272,96,1,
16,Sun,23-Dec,L,,8/6/2001,@,New Orleans Saints,28,31,429,364,65,2,370,313,57,1,
17,Sun,30-Dec,W,,9/6/2001,,Cincinnati Bengals,16,13,343,278,65,1,196,71,125,,
