Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,12-Sep,W,,Jan-00,,Indianapolis Colts,34,24,355,98,257,1,463,419,44,1,
2,Sun,19-Sep,W,OT,Feb-00,@,Washington Redskins,30,27,526,468,58,1,421,403,18,,
3,Sun,26-Sep,L,,1-Feb,,Dallas Cowboys,13,27,340,216,124,3,385,284,101,,
4,Sun,3-Oct,W,,1-Mar,@,Oakland Raiders,31,24,441,192,249,,363,245,118,3,
5,Sun,10-Oct,L,,2-Mar,,New York Giants,10,34,195,171,24,2,414,297,117,2,
6,Sun,17-Oct,W,,2-Apr,,Kansas City Chiefs,35,31,421,289,132,,417,189,228,,
7,,,,,,,Bye Week,,,,,,,,,,,
8,Mon,1-Nov,L,,3-Apr,@,Indianapolis Colts,17,30,291,183,108,2,366,259,107,,
9,Sun,7-Nov,L,,4-Apr,,San Diego Chargers,23,29,392,252,140,1,367,290,77,2,
10,Sun,14-Nov,L,,5-Apr,@,Jacksonville Jaguars,24,31,395,314,81,1,491,326,165,,
11,Sun,21-Nov,L,,6-Apr,@,New York Jets,27,30,343,246,97,1,401,298,103,2,
12,Sun,28-Nov,W,,6-May,,Tennessee Titans,20,0,346,158,188,,162,138,24,3,
13,Thu,2-Dec,L,,7-May,@,Philadelphia Eagles,24,34,431,323,108,2,416,301,115,1,
14,Mon,13-Dec,L,OT,8-May,,Baltimore Ravens,28,34,489,378,111,2,253,190,63,,
15,Sun,19-Dec,L,,9-May,@,Tennessee Titans,17,31,323,293,30,1,359,212,147,1,
16,Sun,26-Dec,L,,10-May,@,Denver Broncos,23,24,401,310,91,1,431,305,126,1,
17,Sun,2-Jan,W,,10-Jun,,Jacksonville Jaguars,34,17,497,253,244,,322,124,198,2,
