Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,L,,0-1,@,Miami Dolphins,20,27,336,220,116,3,342,222,120,2,
2,Sun,16-Sep,W,,1-Jan,,Houston Texans,20,17,283,183,100,,437,289,148,1,
3,Sun,23-Sep,W,,1-Feb,@,Jacksonville Jaguars,9,6,233,83,150,,232,145,87,1,
4,Sun,30-Sep,W,OT,1-Mar,,Philadelphia Eagles,26,23,397,327,70,1,432,315,117,1,
5,Sun,7-Oct,L,,2-Mar,@,Buffalo Bills,12,13,221,121,100,3,223,79,144,1,
6,Sun,14-Oct,L,,3-Mar,,Baltimore Ravens,0,21,106,51,55,,361,238,123,1,
7,Sun,21-Oct,L,,4-Mar,@,Los Angeles Chargers,19,20,390,226,164,1,344,297,47,,
8,,,,,,,Bye Week,,,,,,,,,,,
9,Mon,5-Nov,W,,4-Apr,@,Dallas Cowboys,28,14,340,215,125,2,297,225,72,2,
10,Sun,11-Nov,W,,4-May,,New England Patriots,34,10,385,235,150,,284,244,40,,
11,Sun,18-Nov,L,,5-May,@,Indianapolis Colts,10,38,267,176,91,2,397,295,102,,
12,Mon,26-Nov,L,,6-May,@,Houston Texans,17,34,365,260,105,1,462,181,281,,
13,Sun,2-Dec,W,,6-Jun,,New York Jets,26,22,403,273,130,1,280,124,156,1,
14,Thu,6-Dec,W,,6-Jul,,Jacksonville Jaguars,30,9,426,162,264,1,255,195,60,1,
15,Sun,16-Dec,W,,6-Aug,@,New York Giants,17,0,301,86,215,,260,213,47,2,
16,Sat,22-Dec,W,,6-Sep,,Washington Redskins,25,16,291,192,99,,292,131,161,2,
17,Sun,30-Dec,L,,7-Sep,,Indianapolis Colts,17,33,258,165,93,3,436,278,158,2,
