Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Thu,9-Sep,L,,0-1,@,New Orleans Saints,9,14,253,162,91,1,308,229,79,,
2,Sun,19-Sep,L,,0-2,,Miami Dolphins,10,14,364,208,156,4,226,106,120,2,
3,Sun,26-Sep,W,,2-Jan,,Detroit Lions,24,10,368,185,183,3,295,232,63,3,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Mon,11-Oct,L,,3-Jan,@,New York Jets,20,29,336,240,96,3,328,173,155,,
6,Sun,17-Oct,W,,3-Feb,,Dallas Cowboys,24,21,188,93,95,1,314,220,94,2,
7,Sun,24-Oct,L,,4-Feb,@,Green Bay Packers,24,28,402,206,196,3,379,295,84,2,
8,Sun,31-Oct,L,,5-Feb,@,New England Patriots,18,28,410,285,125,1,362,240,122,,
9,Sun,7-Nov,W,OT,5-Mar,,Arizona Cardinals,27,24,507,427,80,3,225,172,53,1,
10,Sun,14-Nov,L,,6-Mar,@,Chicago Bears,13,27,240,170,70,4,360,230,130,2,
11,Sun,21-Nov,L,,7-Mar,,Green Bay Packers,3,31,300,207,93,2,374,283,91,,
12,Sun,28-Nov,W,,7-Apr,@,Washington Redskins,17,13,299,162,137,,216,187,29,1,
13,Sun,5-Dec,W,,7-May,,Buffalo Bills,38,14,387,177,210,4,239,155,84,5,
14,Mon,13-Dec,L,,8-May,,New York Giants,3,21,164,103,61,1,395,182,213,2,
15,Mon,20-Dec,L,,9-May,,Chicago Bears,14,40,273,159,114,5,293,189,104,1,
16,Tue,28-Dec,W,,9-Jun,@,Philadelphia Eagles,24,14,337,176,161,1,331,224,107,3,
17,Sun,2-Jan,L,,10-Jun,@,Detroit Lions,13,20,211,137,74,1,357,250,107,2,
