Week,Day,Date,Results,Entering Wins,Rec,Home,Opp,PF,PA,OTotYd,OPassY,ORushY,TO_lost,DTotYd,DPassY,DRushY,TO_won,week_after_bye
1,Sun,9-Sep,W,,Jan-00,@,Arizona Cardinals,24,6,429,247,182,1,213,145,68,2,
2,Sun,16-Sep,L,,1-Jan,,Indianapolis Colts,9,21,334,269,65,1,281,177,104,2,
3,Sun,23-Sep,W,,1-Feb,,Green Bay Packers,31,17,386,220,166,1,340,240,100,1,
4,,,,,,,Bye Week,,,,,,,,,,,
5,Mon,8-Oct,L,,2-Feb,@,New Orleans Saints,19,43,283,244,39,2,447,349,98,1,
6,Sun,14-Oct,W,,2-Mar,,Carolina Panthers,23,17,288,156,132,,350,269,81,3,
7,Sun,21-Oct,W,,2-Apr,,Dallas Cowboys,20,17,305,175,130,,323,250,73,2,
8,Sun,28-Oct,W,,2-May,@,New York Giants,20,13,360,178,182,1,303,266,37,2,
9,Sun,4-Nov,L,,3-May,,Atlanta Falcons,14,38,366,287,79,1,491,337,154,1,
10,Sun,11-Nov,W,,3-Jun,@,Tampa Bay Buccaneers,16,3,286,170,116,,501,398,103,4,
11,Sun,18-Nov,L,,4-Jun,,Houston Texans,21,23,278,154,124,2,320,181,139,3,
12,Thu,22-Nov,L,,5-Jun,@,Dallas Cowboys,23,31,331,251,80,3,404,258,146,,
13,Mon,3-Dec,L,,6-Jun,@,Philadelphia Eagles,13,28,235,131,104,1,436,306,130,1,
14,Sun,9-Dec,L,,7-Jun,,New York Giants,16,40,288,204,84,3,402,175,227,1,
15,Sun,16-Dec,W,,7-Jul,@,Jacksonville Jaguars,16,13,245,136,109,,192,20,172,2,
16,Sat,22-Dec,L,,8-Jul,@,Tennessee Titans,16,25,292,131,161,2,291,192,99,,
17,Sun,30-Dec,L,,9-Jul,,Philadelphia Eagles,0,24,89,68,21,1,360,231,129,1,
