,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,D_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2017.0,1.0,60.0,46.67,40.0,33.33,3.0,70.0,10.0
1,2017.0,1.0,75.0,50.0,43.75,100.0,2.0,90.0,10.0
2,2017.0,1.0,56.25,56.25,31.25,100.0,1.0,55.56,9.0
3,2017.0,1.0,56.25,50.0,31.25,50.0,2.0,100.0,8.0
4,2017.0,1.0,64.29,64.29,42.86,80.0,5.0,60.0,5.0
5,2017.0,1.0,71.43,50.0,50.0,80.0,5.0,57.14,7.0
6,2017.0,1.0,53.33,53.33,46.67,75.0,4.0,83.33,6.0
7,2017.0,1.0,76.92,76.92,76.92,100.0,5.0,100.0,7.0
8,2017.0,1.0,46.15,15.38,38.46,33.33,3.0,50.0,6.0
9,2017.0,1.0,71.43,78.57,64.29,100.0,4.0,80.0,10.0
10,2017.0,1.0,64.29,50.0,71.43,80.0,5.0,71.43,7.0
11,2017.0,1.0,81.25,68.75,56.25,100.0,6.0,50.0,10.0
12,2017.0,1.0,75.0,62.5,37.5,71.43,7.0,71.43,7.0
13,2017.0,1.0,62.5,50.0,56.25,75.0,4.0,87.5,8.0
14,2017.0,1.0,68.75,56.25,37.5,66.67,6.0,71.43,7.0
15,2017.0,1.0,75.0,68.75,50.0,83.33,6.0,100.0,7.0
16,2017.0,1.0,75.0,50.0,43.75,66.67,6.0,75.0,8.0
