,Season,Total_Accuracy,3Agree_Accuracy,2Agree_Accuracy
0,2019,79.62834914611005,87.10058823529413,75.43529411764706
1,2018,75.19512919186366,78.77470588235295,72.64647058823529
2,2017,75.33537407195888,76.16235294117647,74.87176470588236
3,2016,73.9330411764706,74.95294117647059,73.23882352941176
4,2015,65.06620708011714,64.34882352941177,65.48941176470589
5,2014,73.90183564883239,79.17823529411766,71.16294117647058
6,2013,77.5664,77.71294117647058,77.50941176470589
7,2012,70.60024221453287,58.68882352941176,78.93823529411765
8,2011,73.99703349282296,79.87882352941176,70.34941176470589
9,2010,72.50152048319329,69.34823529411767,74.28764705882354
