,Season,Total_Accuracy,3Agree_Accuracy,2Agree_Accuracy
0,2019,74.73414390756302,82.67823529411764,65.40176470588234
1,2018,78.88473298997016,83.89999999999998,71.67176470588235
2,2017,73.6388207806487,76.89294117647059,70.50411764705882
3,2016,76.40672227099795,83.18823529411766,69.69235294117647
4,2015,67.22330571665286,72.7005882352941,60.79588235294118
5,2014,75.38855224281494,79.35705882352941,71.66588235294117
6,2013,74.86445538981144,77.90588235294119,72.28058823529412
7,2012,75.89677725118483,76.54,75.20941176470588
8,2011,78.68618312483365,86.48470588235296,69.07588235294119
9,2010,67.93809855521155,68.42117647058824,67.44647058823529
