,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2013.0,1.0,62.5,56.25,18.75,0.0,0.0,63.64,11.0
1,2013.0,1.0,75.0,56.25,25.0,0.0,0.0,76.92,13.0
2,2013.0,1.0,62.5,68.75,37.5,100.0,1.0,100.0,10.0
3,2013.0,1.0,66.67,60.0,46.67,100.0,2.0,70.0,10.0
4,2013.0,1.0,78.57,50.0,50.0,100.0,2.0,72.73,11.0
5,2013.0,1.0,73.33,46.67,40.0,100.0,2.0,100.0,7.0
6,2013.0,1.0,66.67,66.67,60.0,80.0,5.0,100.0,7.0
7,2013.0,1.0,69.23,61.54,84.62,100.0,5.0,71.43,7.0
8,2013.0,1.0,61.54,30.77,61.54,50.0,2.0,75.0,8.0
9,2013.0,1.0,71.43,64.29,42.86,100.0,2.0,77.78,9.0
10,2013.0,1.0,73.33,53.33,46.67,100.0,3.0,75.0,8.0
11,2013.0,1.0,69.23,61.54,76.92,77.78,9.0,66.67,3.0
12,2013.0,1.0,62.5,56.25,31.25,66.67,3.0,75.0,8.0
13,2013.0,1.0,68.75,43.75,62.5,100.0,3.0,85.71,7.0
14,2013.0,1.0,75.0,81.25,62.5,100.0,6.0,77.78,9.0
15,2013.0,1.0,50.0,56.25,50.0,80.0,5.0,50.0,6.0
16,2013.0,1.0,87.5,37.5,62.5,66.67,6.0,80.0,10.0
