,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2013.0,1.0,62.5,62.5,18.75,0.0,0.0,70.0,10.0
1,2013.0,1.0,75.0,56.25,31.25,0.0,0.0,76.92,13.0
2,2013.0,1.0,62.5,75.0,37.5,100.0,1.0,100.0,11.0
3,2013.0,1.0,66.67,60.0,40.0,100.0,2.0,60.0,10.0
4,2013.0,1.0,78.57,50.0,42.86,75.0,4.0,66.67,9.0
5,2013.0,1.0,73.33,46.67,33.33,100.0,1.0,88.89,9.0
6,2013.0,1.0,66.67,73.33,60.0,83.33,6.0,100.0,6.0
7,2013.0,1.0,69.23,61.54,92.31,100.0,6.0,80.0,5.0
8,2013.0,1.0,61.54,30.77,61.54,50.0,2.0,85.71,7.0
9,2013.0,1.0,71.43,71.43,42.86,100.0,3.0,75.0,8.0
10,2013.0,1.0,73.33,60.0,53.33,100.0,4.0,75.0,8.0
11,2013.0,1.0,69.23,61.54,76.92,77.78,9.0,66.67,3.0
12,2013.0,1.0,62.5,62.5,31.25,75.0,4.0,71.43,7.0
13,2013.0,1.0,68.75,43.75,68.75,100.0,3.0,100.0,7.0
14,2013.0,1.0,75.0,81.25,56.25,100.0,6.0,75.0,8.0
15,2013.0,1.0,50.0,62.5,43.75,80.0,5.0,60.0,5.0
16,2013.0,1.0,87.5,43.75,56.25,66.67,6.0,80.0,10.0
