,Season,Total_Accuracy,3Agree_Accuracy,2Agree_Accuracy
0,2019,82.89813725490197,89.37176470588236,78.27411764705883
1,2018,79.9339705882353,81.24235294117646,78.99941176470588
2,2017,78.57182783357246,76.8764705882353,79.50941176470587
3,2016,78.50609813774757,84.20176470588235,75.27705882352942
4,2015,70.72996762007556,69.7335294117647,71.43058823529411
5,2014,76.30858114099911,82.9664705882353,72.1064705882353
6,2013,77.87813428401662,76.92823529411764,78.31117647058824
7,2012,77.45340355677156,68.39588235294117,83.85117647058824
8,2011,77.04634555271384,73.42941176470588,79.61705882352942
9,2010,74.61888235294118,70.05588235294118,76.91529411764706
