,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,O_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2012.0,1.0,68.75,31.25,50.0,0.0,1.0,69.23,13.0
1,2012.0,1.0,68.75,62.5,25.0,100.0,1.0,80.0,10.0
2,2012.0,1.0,50.0,43.75,43.75,50.0,2.0,45.45,11.0
3,2012.0,1.0,86.67,73.33,26.67,80.0,5.0,75.0,8.0
4,2012.0,1.0,64.29,71.43,50.0,75.0,4.0,100.0,7.0
5,2012.0,1.0,28.57,64.29,57.14,60.0,5.0,66.67,6.0
6,2012.0,1.0,76.92,61.54,61.54,85.71,7.0,100.0,4.0
7,2012.0,1.0,50.0,50.0,64.29,50.0,8.0,100.0,5.0
8,2012.0,1.0,71.43,64.29,50.0,83.33,6.0,66.67,6.0
9,2012.0,1.0,84.62,61.54,53.85,100.0,4.0,55.56,9.0
10,2012.0,1.0,78.57,64.29,71.43,100.0,5.0,87.5,8.0
11,2012.0,1.0,50.0,50.0,37.5,45.45,11.0,66.67,3.0
12,2012.0,1.0,50.0,50.0,43.75,37.5,8.0,85.71,7.0
13,2012.0,1.0,62.5,50.0,43.75,66.67,6.0,83.33,6.0
14,2012.0,1.0,68.75,81.25,37.5,71.43,7.0,100.0,7.0
15,2012.0,1.0,68.75,62.5,68.75,83.33,6.0,77.78,9.0
16,2012.0,1.0,56.25,25.0,37.5,14.29,7.0,77.78,9.0
