,Year,Week,Weekly_Rate_Accuracy,Prior_Rate_Accuracy,E_Adv_Rate_Accuracy,3Agree_Accuracy,3Agree_Count,2Agree_Accuracy,2Agree_Count
0,2014.0,1.0,56.25,37.5,43.75,0.0,0.0,63.64,11.0
1,2014.0,1.0,75.0,68.75,25.0,100.0,2.0,70.0,10.0
2,2014.0,1.0,75.0,81.25,18.75,100.0,2.0,80.0,10.0
3,2014.0,1.0,61.54,69.23,30.77,50.0,2.0,87.5,8.0
4,2014.0,1.0,73.33,60.0,73.33,83.33,6.0,87.5,8.0
5,2014.0,1.0,64.29,64.29,50.0,83.33,6.0,75.0,4.0
6,2014.0,1.0,73.33,66.67,73.33,100.0,6.0,100.0,5.0
7,2014.0,1.0,80.0,53.33,86.67,87.5,8.0,83.33,6.0
8,2014.0,1.0,69.23,61.54,38.46,80.0,5.0,66.67,6.0
9,2014.0,1.0,76.92,46.15,53.85,100.0,4.0,50.0,4.0
10,2014.0,1.0,50.0,71.43,35.71,80.0,5.0,100.0,2.0
11,2014.0,1.0,66.67,60.0,53.33,80.0,5.0,62.5,8.0
12,2014.0,1.0,68.75,75.0,56.25,85.71,7.0,62.5,8.0
13,2014.0,1.0,37.5,56.25,62.5,100.0,2.0,54.55,11.0
14,2014.0,1.0,68.75,68.75,50.0,100.0,5.0,71.43,7.0
15,2014.0,1.0,37.5,56.25,56.25,75.0,4.0,42.86,7.0
16,2014.0,1.0,87.5,62.5,75.0,88.89,9.0,83.33,6.0
