,Season,Total_Accuracy,3Agree_Accuracy,2Agree_Accuracy
0,2019,82.91964432284541,89.37176470588236,78.27411764705883
1,2018,79.77552667578661,81.24235294117646,78.71941176470588
2,2017,78.57182783357246,76.8764705882353,79.50941176470587
3,2016,78.50609813774757,84.20176470588235,75.27705882352942
4,2015,70.55460558416915,69.7335294117647,71.13647058823528
5,2014,76.51530889742831,81.98588235294118,72.98882352941176
6,2013,77.87813428401662,76.92823529411764,78.31117647058824
7,2012,77.45340355677156,68.39588235294117,83.85117647058824
8,2011,77.04634555271384,73.42941176470588,79.61705882352942
9,2010,74.45110230179029,70.05588235294118,76.75058823529412
