,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,0.0,Detroit Lions,2020,Bears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
1,2,Sun,1.0,1.0,1.0,New York Giants,2020,Bears,27.0,23.0,214.0,149.0,0.0,1.0,288.0,138.0,363.0,426.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
2,3,Sun,1.0,2.0,0.0,Atlanta Falcons,2020,Bears,44.0,36.0,383.0,284.0,2.0,3.0,508.0,213.0,667.0,721.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
3,4,Sun,0.0,3.0,1.0,Indianapolis Colts,2020,Bears,74.0,62.0,690.0,414.0,4.0,4.0,735.0,357.0,1104.0,1092.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
4,5,Thu,,,1.0,Tampa Bay Buccaneers,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
5,6,Sun,,,0.0,Carolina Panthers,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
6,7,Mon,,,0.0,Los Angeles Rams,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
7,8,Sun,,,1.0,New Orleans Saints,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
8,9,Sun,,,0.0,Tennessee Titans,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
9,10,Mon,,,1.0,Minnesota Vikings,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
10,12,Sun,,,0.0,Green Bay Packers,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,1,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
11,13,Sun,,,1.0,Detroit Lions,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
12,14,Sun,,,1.0,Houston Texans,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
13,15,Sun,,,0.0,Minnesota Vikings,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
14,16,Sun,,,0.0,Jacksonville Jaguars,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
15,17,Sun,,,1.0,Green Bay Packers,2020,Bears,85.0,81.0,931.0,442.0,5.0,4.0,921.0,460.0,1373.0,1381.0,0,Matt Nagy,Bill Lazor,Chuck Pagano,Mitchell Trubisky
16,1,Thu,0.0,0.0,1.0,Green Bay Packers,2019,Bears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
17,2,Sun,1.0,0.0,0.0,Denver Broncos,2019,Bears,3.0,10.0,208.0,46.0,1.0,0.0,166.0,47.0,254.0,213.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
18,3,Mon,1.0,1.0,0.0,Washington Redskins,2019,Bears,19.0,24.0,328.0,199.0,1.0,1.0,448.0,137.0,527.0,585.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
19,4,Sun,1.0,2.0,1.0,Minnesota Vikings,2019,Bears,50.0,39.0,536.0,289.0,2.0,6.0,735.0,206.0,825.0,941.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
20,5,Sun,0.0,3.0,0.0,Oakland Raiders,2019,Bears,66.0,45.0,733.0,361.0,2.0,8.0,917.0,246.0,1094.0,1163.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Chase Daniel
21,7,Sun,0.0,3.0,1.0,New Orleans Saints,2019,Bears,87.0,69.0,927.0,403.0,4.0,10.0,1146.0,415.0,1330.0,1561.0,1,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
22,8,Sun,0.0,3.0,1.0,Los Angeles Chargers,2019,Bears,112.0,105.0,1162.0,420.0,6.0,10.0,1419.0,566.0,1582.0,1985.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
23,9,Sun,0.0,3.0,0.0,Philadelphia Eagles,2019,Bears,128.0,122.0,1388.0,582.0,8.0,11.0,1614.0,602.0,1970.0,2216.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
24,10,Sun,1.0,3.0,1.0,Detroit Lions,2019,Bears,142.0,144.0,1490.0,644.0,9.0,11.0,1841.0,748.0,2134.0,2589.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
25,11,Sun,0.0,4.0,0.0,Los Angeles Rams,2019,Bears,162.0,157.0,1635.0,725.0,9.0,12.0,2100.0,846.0,2360.0,2946.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
26,12,Sun,1.0,4.0,1.0,New York Giants,2019,Bears,169.0,174.0,1828.0,799.0,10.0,14.0,2273.0,956.0,2627.0,3229.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
27,13,Thu,1.0,5.0,0.0,Detroit Lions,2019,Bears,188.0,188.0,2098.0,864.0,12.0,15.0,2407.0,1065.0,2962.0,3472.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
28,14,Thu,1.0,6.0,1.0,Dallas Cowboys,2019,Bears,212.0,208.0,2429.0,952.0,13.0,16.0,2666.0,1170.0,3381.0,3836.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
29,15,Sun,0.0,7.0,0.0,Green Bay Packers,2019,Bears,243.0,232.0,2660.0,1103.0,15.0,16.0,2992.0,1252.0,3763.0,4244.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
30,16,Sun,0.0,7.0,1.0,Kansas City Chiefs,2019,Bears,256.0,253.0,2979.0,1199.0,18.0,16.0,3184.0,1352.0,4178.0,4536.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
31,17,Sun,1.0,7.0,0.0,Minnesota Vikings,2019,Bears,259.0,279.0,3112.0,1300.0,18.0,16.0,3428.0,1458.0,4412.0,4886.0,0,Matt Nagy,Mark Helfrich,Chuck Pagano,Mitchell Trubisky
32,1,Sun,0.0,0.0,0.0,Green Bay Packers,2018,Bears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
33,2,Mon,1.0,0.0,1.0,Seattle Seahawks,2018,Bears,23.0,24.0,155.0,139.0,1.0,2.0,301.0,69.0,294.0,370.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
34,3,Sun,1.0,1.0,0.0,Arizona Cardinals,2018,Bears,47.0,41.0,340.0,225.0,3.0,4.0,503.0,143.0,565.0,646.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
35,4,Sun,1.0,2.0,1.0,Tampa Bay Buccaneers,2018,Bears,63.0,55.0,534.0,347.0,5.0,8.0,671.0,196.0,881.0,867.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
36,6,Sun,0.0,3.0,0.0,Miami Dolphins,2018,Bears,111.0,65.0,878.0,486.0,5.0,11.0,922.0,256.0,1364.0,1178.0,1,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
37,7,Sun,0.0,3.0,1.0,New England Patriots,2018,Bears,139.0,96.0,1181.0,650.0,8.0,14.0,1302.0,417.0,1831.0,1719.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
38,8,Sun,1.0,3.0,1.0,New York Jets,2018,Bears,170.0,134.0,1500.0,784.0,10.0,17.0,1575.0,525.0,2284.0,2100.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
39,9,Sun,1.0,4.0,0.0,Buffalo Bills,2018,Bears,194.0,144.0,1716.0,963.0,10.0,17.0,1725.0,582.0,2679.0,2307.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
40,10,Sun,1.0,5.0,1.0,Detroit Lions,2018,Bears,235.0,153.0,1842.0,1027.0,11.0,21.0,1891.0,680.0,2869.0,2571.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
41,11,Sun,1.0,6.0,1.0,Minnesota Vikings,2018,Bears,269.0,175.0,2190.0,1081.0,11.0,24.0,2120.0,756.0,3271.0,2876.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
42,12,Thu,1.0,7.0,0.0,Detroit Lions,2018,Bears,294.0,195.0,2350.0,1229.0,14.0,27.0,2366.0,778.0,3579.0,3144.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
43,13,Sun,0.0,8.0,0.0,New York Giants,2018,Bears,317.0,211.0,2576.0,1267.0,15.0,29.0,2588.0,889.0,3843.0,3477.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
44,14,Sun,1.0,8.0,1.0,Los Angeles Rams,2018,Bears,344.0,241.0,2834.0,1385.0,18.0,30.0,2785.0,1030.0,4219.0,3815.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
45,15,Sun,1.0,9.0,1.0,Green Bay Packers,2018,Bears,359.0,247.0,2934.0,1579.0,21.0,34.0,2947.0,1082.0,4513.0,4029.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
46,16,Sun,1.0,10.0,0.0,San Francisco 49ers,2018,Bears,383.0,264.0,3166.0,1679.0,22.0,35.0,3182.0,1170.0,4845.0,4352.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
47,17,Sun,1.0,11.0,0.0,Minnesota Vikings,2018,Bears,397.0,273.0,3401.0,1769.0,24.0,36.0,3414.0,1217.0,5170.0,4631.0,0,Matt Nagy,Mark Helfrich,Vic Fangio,Mitchell Trubisky
