,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,1.0,Detroit Lions,2019,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
1,2,Sun,0.0,0.0,0.0,Baltimore Ravens,2019,Cardinals,27.0,27.0,275.0,112.0,1.0,2.0,361.0,116.0,387.0,477.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
2,3,Sun,0.0,0.0,1.0,Carolina Panthers,2019,Cardinals,44.0,50.0,604.0,132.0,1.0,2.0,619.0,298.0,736.0,917.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
3,4,Sun,0.0,0.0,1.0,Seattle Seahawks,2019,Cardinals,64.0,88.0,731.0,253.0,3.0,3.0,859.0,471.0,984.0,1330.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
4,5,Sun,1.0,0.0,0.0,Cincinnati Bengals,2019,Cardinals,74.0,115.0,937.0,368.0,4.0,3.0,1084.0,586.0,1305.0,1670.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
5,6,Sun,1.0,1.0,1.0,Atlanta Falcons,2019,Cardinals,100.0,138.0,1185.0,634.0,4.0,3.0,1346.0,694.0,1819.0,2040.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
6,7,Sun,1.0,2.0,0.0,New York Giants,2019,Cardinals,134.0,171.0,1525.0,736.0,4.0,3.0,1687.0,797.0,2261.0,2484.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
7,8,Sun,0.0,3.0,0.0,New Orleans Saints,2019,Cardinals,161.0,192.0,1614.0,892.0,4.0,6.0,1843.0,904.0,2506.0,2747.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
8,9,Thu,0.0,3.0,1.0,San Francisco 49ers,2019,Cardinals,170.0,223.0,1811.0,932.0,4.0,7.0,2216.0,1041.0,2743.0,3257.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
9,10,Sun,0.0,3.0,0.0,Tampa Bay Buccaneers,2019,Cardinals,195.0,251.0,2015.0,1085.0,4.0,7.0,2526.0,1142.0,3100.0,3668.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
10,11,Sun,0.0,3.0,0.0,San Francisco 49ers,2019,Cardinals,222.0,281.0,2357.0,1160.0,6.0,10.0,2865.0,1260.0,3517.0,4125.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
11,13,Sun,0.0,3.0,1.0,Los Angeles Rams,2019,Cardinals,248.0,317.0,2488.0,1295.0,8.0,12.0,3273.0,1294.0,3783.0,4567.0,1,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
12,14,Sun,0.0,3.0,1.0,Pittsburgh Steelers,2019,Cardinals,255.0,351.0,2612.0,1369.0,9.0,12.0,3690.0,1426.0,3981.0,5116.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
13,15,Sun,1.0,3.0,1.0,Cleveland Browns,2019,Cardinals,272.0,374.0,2777.0,1440.0,12.0,14.0,3825.0,1566.0,4217.0,5391.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
14,16,Sun,1.0,4.0,0.0,Seattle Seahawks,2019,Cardinals,310.0,398.0,2996.0,1666.0,13.0,16.0,4066.0,1718.0,4662.0,5784.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
15,17,Sun,0.0,5.0,0.0,Los Angeles Rams,2019,Cardinals,337.0,411.0,3155.0,1919.0,13.0,17.0,4199.0,1809.0,5074.0,6008.0,0,Kliff Kingsbury,Kliff Kingsbury,Vance Joseph,Kyler Murray
16,1,Sun,0.0,0.0,1.0,Washington Redskins,2018,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
17,2,Sun,0.0,0.0,0.0,Los Angeles Rams,2018,Cardinals,6.0,24.0,145.0,68.0,2.0,1.0,247.0,182.0,213.0,429.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
18,3,Sun,0.0,0.0,1.0,Chicago Bears,2018,Cardinals,6.0,58.0,228.0,122.0,3.0,2.0,589.0,272.0,350.0,861.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
19,4,Sun,0.0,0.0,1.0,Seattle Seahawks,2018,Cardinals,20.0,74.0,396.0,175.0,7.0,4.0,783.0,394.0,571.0,1177.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
20,5,Sun,1.0,0.0,0.0,San Francisco 49ers,2018,Cardinals,37.0,94.0,567.0,267.0,8.0,4.0,943.0,565.0,834.0,1508.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
21,6,Sun,0.0,1.0,0.0,Minnesota Vikings,2018,Cardinals,65.0,112.0,731.0,323.0,8.0,9.0,1243.0,712.0,1054.0,1955.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
22,7,Thu,0.0,1.0,1.0,Denver Broncos,2018,Cardinals,82.0,139.0,939.0,383.0,10.0,11.0,1459.0,907.0,1322.0,2366.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
23,8,Sun,1.0,1.0,1.0,San Francisco 49ers,2018,Cardinals,92.0,184.0,1093.0,452.0,15.0,12.0,1637.0,1038.0,1545.0,2675.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
24,10,Sun,0.0,2.0,0.0,Kansas City Chiefs,2018,Cardinals,110.0,199.0,1326.0,540.0,17.0,12.0,1797.0,1145.0,1866.0,2942.0,1,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
25,11,Sun,0.0,2.0,1.0,Oakland Raiders,2018,Cardinals,124.0,225.0,1492.0,634.0,19.0,12.0,2009.0,1263.0,2126.0,3272.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
26,12,Sun,0.0,2.0,0.0,Los Angeles Chargers,2018,Cardinals,145.0,248.0,1620.0,788.0,21.0,12.0,2182.0,1415.0,2408.0,3597.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
27,13,Sun,1.0,2.0,0.0,Green Bay Packers,2018,Cardinals,155.0,293.0,1707.0,850.0,22.0,13.0,2418.0,1593.0,2557.0,4011.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
28,14,Sun,0.0,3.0,1.0,Detroit Lions,2018,Cardinals,175.0,310.0,1840.0,1032.0,22.0,13.0,2645.0,1691.0,2872.0,4336.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
29,15,Sun,0.0,3.0,0.0,Atlanta Falcons,2018,Cardinals,178.0,327.0,2058.0,1093.0,23.0,14.0,2741.0,1813.0,3151.0,4554.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
30,16,Sun,0.0,3.0,1.0,Los Angeles Rams,2018,Cardinals,192.0,367.0,2251.0,1153.0,26.0,14.0,2961.0,2028.0,3404.0,4989.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
31,17,Sun,0.0,3.0,0.0,Seattle Seahawks,2018,Cardinals,201.0,398.0,2410.0,1257.0,26.0,15.0,3153.0,2297.0,3667.0,5450.0,0,Steve Wilks,Mike McCoy,Al Holcomb,Josh Rosen
32,1,Sun,0.0,0.0,0.0,Detroit Lions,2017,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
33,2,Sun,1.0,0.0,0.0,Indianapolis Colts,2017,Cardinals,23.0,35.0,263.0,45.0,4.0,1.0,285.0,82.0,308.0,367.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
34,3,Mon,0.0,1.0,1.0,Dallas Cowboys,2017,Cardinals,39.0,48.0,569.0,128.0,5.0,2.0,475.0,158.0,697.0,633.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
35,4,Sun,1.0,1.0,1.0,San Francisco 49ers,2017,Cardinals,56.0,76.0,852.0,177.0,5.0,2.0,649.0,257.0,1029.0,906.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
36,5,Sun,0.0,2.0,0.0,Philadelphia Eagles,2017,Cardinals,74.0,91.0,1169.0,228.0,6.0,3.0,859.0,352.0,1397.0,1211.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
37,6,Sun,1.0,2.0,1.0,Tampa Bay Buccaneers,2017,Cardinals,81.0,125.0,1445.0,259.0,7.0,4.0,1156.0,474.0,1704.0,1630.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
38,7,Sun,0.0,3.0,0.0,Los Angeles Rams,2017,Cardinals,119.0,158.0,1717.0,419.0,9.0,6.0,1500.0,542.0,2136.0,2042.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
39,9,Sun,1.0,3.0,0.0,San Francisco 49ers,2017,Cardinals,119.0,191.0,1888.0,444.0,11.0,7.0,1728.0,739.0,2332.0,2467.0,1,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
40,10,Thu,0.0,4.0,1.0,Seattle Seahawks,2017,Cardinals,139.0,201.0,2089.0,611.0,13.0,9.0,1994.0,802.0,2700.0,2796.0,0,Bruce Arians,Harold Goodwin,James Bettcher,Carson Palmer
