,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Jacksonville Jaguars,2020,Colts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
1,2,Sun,1.0,0.0,1.0,Minnesota Vikings,2020,Colts,20.0,27.0,357.0,88.0,2.0,0.0,150.0,91.0,445.0,241.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
2,3,Sun,1.0,1.0,1.0,New York Jets,2020,Colts,48.0,38.0,560.0,239.0,3.0,3.0,245.0,171.0,799.0,416.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
3,4,Sun,1.0,2.0,0.0,Chicago Bears,2020,Colts,84.0,45.0,794.0,358.0,3.0,6.0,396.0,280.0,1152.0,676.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
4,5,Sun,,,0.0,Cleveland Browns,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
5,6,Sun,,,1.0,Cincinnati Bengals,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
6,8,Sun,,,0.0,Detroit Lions,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,1,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
7,9,Sun,,,1.0,Baltimore Ravens,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
8,10,Thu,,,0.0,Tennessee Titans,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
9,11,Sun,,,1.0,Green Bay Packers,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
10,12,Sun,,,1.0,Tennessee Titans,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
11,13,Sun,,,0.0,Houston Texans,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
12,14,Sun,,,0.0,Las Vegas Raiders,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
13,15,Sun,,,1.0,Houston Texans,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
14,16,Sun,,,0.0,Pittsburgh Steelers,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
15,17,Sun,,,1.0,Jacksonville Jaguars,2020,Colts,103.0,56.0,980.0,461.0,3.0,7.0,637.0,308.0,1441.0,945.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Philip Rivers
16,1,Sun,0.0,0.0,0.0,Los Angeles Chargers,2019,Colts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Jacoby Brissett
17,2,Sun,1.0,0.0,0.0,Tennessee Titans,2019,Colts,24.0,30.0,173.0,203.0,0.0,2.0,310.0,125.0,376.0,435.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Jacoby Brissett
18,3,Sun,1.0,1.0,1.0,Atlanta Falcons,2019,Colts,43.0,47.0,294.0,370.0,2.0,2.0,429.0,249.0,664.0,678.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Jacoby Brissett
19,4,Sun,0.0,2.0,1.0,Oakland Raiders,2019,Colts,70.0,71.0,594.0,449.0,2.0,3.0,733.0,342.0,1043.0,1075.0,0,Frank Reich,Nick Sirianni,Matt Eberflus,Jacoby Brissett
