,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Los Angeles Rams,2020,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
1,2,Sun,1.0,0.0,1.0,Atlanta Falcons,2020,Cowboys,17.0,20.0,244.0,136.0,0.0,1.0,269.0,153.0,380.0,422.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
2,3,Sun,0.0,1.0,0.0,Seattle Seahawks,2020,Cowboys,57.0,59.0,689.0,261.0,3.0,1.0,536.0,266.0,950.0,802.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
3,4,Sun,0.0,1.0,1.0,Cleveland Browns,2020,Cowboys,88.0,97.0,1150.0,322.0,6.0,2.0,831.0,383.0,1472.0,1214.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
4,5,Sun,,,1.0,New York Giants,2020,Cowboys,126.0,146.0,1631.0,407.0,9.0,2.0,1032.0,690.0,2038.0,1722.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
5,6,Mon,,,1.0,Arizona Cardinals,2020,Cowboys,126.0,146.0,1631.0,407.0,9.0,2.0,1032.0,690.0,2038.0,1722.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
6,7,Sun,,,0.0,Washington Football Team,2020,Cowboys,126.0,146.0,1631.0,407.0,9.0,2.0,1032.0,690.0,2038.0,1722.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
7,8,Sun,,,0.0,Philadelphia Eagles,2020,Cowboys,126.0,146.0,1631.0,407.0,9.0,2.0,1032.0,690.0,2038.0,1722.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
8,9,Sun,,,1.0,Pittsburgh Steelers,2020,Cowboys,126.0,146.0,1631.0,407.0,9.0,2.0,1032.0,690.0,2038.0,1722.0,0,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
9,11,Sun,,,0.0,Minnesota Vikings,2020,Cowboys,126.0,146.0,1631.0,407.0,9.0,2.0,1032.0,690.0,2038.0,1722.0,1,Mike McCarthy,Kellen Moore,Mike Nolan,Dak Prescott
