,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Washington Football Team,2020,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
1,2,Sun,0.0,0.0,1.0,Los Angeles Rams,2020,Eagles,17.0,27.0,208.0,57.0,3.0,0.0,159.0,80.0,265.0,239.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
2,3,Sun,0.0,0.0,1.0,Cincinnati Bengals,2020,Eagles,36.0,64.0,450.0,178.0,6.0,1.0,417.0,271.0,628.0,688.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
3,4,Sun,1.0,0.0,0.0,San Francisco 49ers,2020,Eagles,59.0,87.0,656.0,353.0,8.0,1.0,673.0,319.0,1009.0,992.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
4,5,Sun,,,0.0,Pittsburgh Steelers,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
5,6,Sun,,,1.0,Baltimore Ravens,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
6,7,Thu,,,1.0,New York Giants,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
7,8,Sun,,,1.0,Dallas Cowboys,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
8,10,Sun,,,0.0,New York Giants,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,1,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
9,11,Sun,,,0.0,Cleveland Browns,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
10,12,Mon,,,1.0,Seattle Seahawks,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
11,13,Sun,,,0.0,Green Bay Packers,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
12,14,Sun,,,1.0,New Orleans Saints,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
13,15,Sun,,,0.0,Arizona Cardinals,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
14,16,Sun,,,0.0,Dallas Cowboys,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
15,17,Sun,,,1.0,Washington Football Team,2020,Eagles,84.0,107.0,830.0,446.0,9.0,4.0,974.0,435.0,1276.0,1409.0,0,Doug Pederson,Doug Pederson,Jim Schwartz,Carson Wentz
16,1,Sun,1.0,0.0,1.0,Washington Redskins,2019,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Doug Pederson,Mike Groh,Jim Schwartz,Carson Wentz
17,2,Sun,0.0,1.0,0.0,Atlanta Falcons,2019,Eagles,32.0,27.0,313.0,123.0,0.0,0.0,370.0,28.0,436.0,398.0,0,Doug Pederson,Mike Groh,Jim Schwartz,Carson Wentz
