,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Minnesota Vikings,2019,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
1,2,Sun,1.0,0.0,1.0,Philadelphia Eagles,2019,Falcons,12.0,28.0,272.0,73.0,3.0,0.0,97.0,172.0,345.0,269.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
2,3,Sun,0.0,1.0,0.0,Indianapolis Colts,2019,Falcons,36.0,48.0,582.0,130.0,6.0,3.0,334.0,221.0,712.0,555.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
3,4,Sun,0.0,1.0,1.0,Tennessee Titans,2019,Falcons,60.0,75.0,886.0,223.0,7.0,3.0,634.0,300.0,1109.0,934.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
4,5,Sun,0.0,1.0,0.0,Houston Texans,2019,Falcons,70.0,99.0,1250.0,281.0,8.0,3.0,861.0,438.0,1531.0,1299.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
5,6,Sun,0.0,1.0,0.0,Arizona Cardinals,2019,Falcons,102.0,152.0,1566.0,338.0,9.0,4.0,1287.0,604.0,1904.0,1891.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
6,7,Sun,0.0,1.0,1.0,Los Angeles Rams,2019,Falcons,135.0,186.0,1907.0,441.0,9.0,4.0,1627.0,706.0,2348.0,2333.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
7,8,Sun,0.0,1.0,1.0,Seattle Seahawks,2019,Falcons,145.0,223.0,2093.0,479.0,12.0,4.0,1918.0,796.0,2572.0,2714.0,0,Matt Schaub,Dirk Koetter,Dan Quinn,Matt Ryan
8,10,Sun,1.0,1.0,0.0,New Orleans Saints,2019,Falcons,165.0,250.0,2534.0,548.0,15.0,4.0,2089.0,947.0,3082.0,3036.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
9,11,Sun,1.0,2.0,0.0,Carolina Panthers,2019,Falcons,191.0,259.0,2708.0,691.0,16.0,4.0,2347.0,999.0,3399.0,3346.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
10,12,Sun,0.0,3.0,1.0,Tampa Bay Buccaneers,2019,Falcons,220.0,262.0,3003.0,745.0,16.0,8.0,2617.0,1076.0,3748.0,3693.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
11,13,Thu,0.0,3.0,1.0,New Orleans Saints,2019,Falcons,242.0,297.0,3283.0,802.0,18.0,10.0,2930.0,1209.0,4085.0,4139.0,0,Dan Quinn,Dirk Koetter,Dan Quinn,Matt Ryan
