,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Dallas Cowboys,2019,Giants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
1,2,Sun,0.0,0.0,1.0,Buffalo Bills,2019,Giants,17.0,35.0,319.0,151.0,2.0,0.0,405.0,89.0,470.0,494.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
2,3,Sun,1.0,0.0,0.0,Tampa Bay Buccaneers,2019,Giants,31.0,63.0,560.0,280.0,4.0,0.0,642.0,240.0,840.0,882.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
3,4,Sun,1.0,1.0,1.0,Washington Redskins,2019,Giants,63.0,94.0,872.0,352.0,6.0,1.0,997.0,384.0,1224.0,1381.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
4,5,Sun,0.0,2.0,1.0,Minnesota Vikings,2019,Giants,87.0,97.0,1097.0,516.0,10.0,5.0,1118.0,439.0,1613.0,1557.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
5,6,Thu,0.0,2.0,0.0,New England Patriots,2019,Giants,97.0,125.0,1244.0,580.0,11.0,6.0,1397.0,650.0,1824.0,2047.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
6,7,Sun,0.0,2.0,1.0,Arizona Cardinals,2019,Giants,111.0,160.0,1405.0,632.0,15.0,8.0,1710.0,764.0,2037.0,2474.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
7,8,Sun,0.0,2.0,0.0,Detroit Lions,2019,Giants,132.0,187.0,1561.0,739.0,18.0,8.0,1799.0,920.0,2300.0,2719.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
8,9,Mon,0.0,2.0,1.0,Dallas Cowboys,2019,Giants,158.0,218.0,1851.0,819.0,19.0,10.0,2115.0,979.0,2670.0,3094.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
9,10,Sun,0.0,2.0,0.0,New York Jets,2019,Giants,176.0,255.0,2022.0,919.0,22.0,12.0,2372.0,1151.0,2941.0,3523.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
10,12,Sun,0.0,2.0,0.0,Chicago Bears,2019,Giants,203.0,289.0,2280.0,942.0,24.0,12.0,2590.0,1227.0,3222.0,3817.0,1,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
11,13,Sun,0.0,2.0,1.0,Green Bay Packers,2019,Giants,217.0,308.0,2414.0,1051.0,25.0,14.0,2860.0,1292.0,3465.0,4152.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
12,14,Mon,0.0,2.0,0.0,Philadelphia Eagles,2019,Giants,230.0,339.0,2654.0,1146.0,28.0,14.0,3103.0,1371.0,3800.0,4474.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
13,15,Sun,1.0,2.0,1.0,Miami Dolphins,2019,Giants,247.0,362.0,2836.0,1219.0,28.0,15.0,3403.0,1489.0,4055.0,4892.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
14,16,Sun,1.0,3.0,0.0,Washington Redskins,2019,Giants,283.0,382.0,3110.0,1357.0,31.0,16.0,3665.0,1611.0,4467.0,5276.0,0,Pat Shurmur,Mike Shula,James Bettcher,Daniel Jones
