,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,1.0,Buffalo Bills,2019,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Trevor Siemian
1,2,Mon,0.0,0.0,1.0,Cleveland Browns,2019,Jets,16.0,17.0,155.0,68.0,1.0,4.0,242.0,128.0,223.0,370.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
2,3,Sun,0.0,0.0,0.0,New England Patriots,2019,Jets,19.0,40.0,324.0,161.0,2.0,5.0,547.0,198.0,485.0,745.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
3,5,Sun,0.0,0.0,0.0,Philadelphia Eagles,2019,Jets,33.0,70.0,393.0,197.0,3.0,7.0,860.0,266.0,590.0,1126.0,1,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
4,6,Sun,1.0,0.0,1.0,Dallas Cowboys,2019,Jets,39.0,101.0,454.0,264.0,6.0,8.0,1041.0,350.0,718.0,1391.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
5,7,Mon,0.0,1.0,1.0,New England Patriots,2019,Jets,63.0,123.0,780.0,320.0,7.0,8.0,1311.0,479.0,1100.0,1790.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
6,8,Sun,0.0,1.0,0.0,Jacksonville Jaguars,2019,Jets,63.0,156.0,853.0,401.0,13.0,9.0,1560.0,553.0,1254.0,2113.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
7,9,Sun,0.0,1.0,0.0,Miami Dolphins,2019,Jets,78.0,185.0,1020.0,447.0,16.0,10.0,1838.0,664.0,1467.0,2502.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
8,10,Sun,1.0,1.0,1.0,New York Giants,2019,Jets,96.0,211.0,1258.0,530.0,17.0,10.0,2104.0,714.0,1788.0,2818.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
9,11,Sun,1.0,2.0,0.0,Washington Redskins,2019,Jets,130.0,238.0,1476.0,606.0,17.0,12.0,2362.0,737.0,2082.0,3099.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
10,12,Sun,1.0,3.0,1.0,Oakland Raiders,2019,Jets,164.0,255.0,1761.0,721.0,19.0,13.0,2533.0,791.0,2482.0,3324.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
11,13,Sun,0.0,4.0,0.0,Cincinnati Bengals,2019,Jets,198.0,258.0,2074.0,809.0,20.0,15.0,2673.0,859.0,2883.0,3532.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
12,14,Sun,1.0,4.0,1.0,Miami Dolphins,2019,Jets,204.0,280.0,2283.0,871.0,20.0,15.0,2906.0,903.0,3154.0,3809.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
13,15,Thu,0.0,5.0,0.0,Baltimore Ravens,2019,Jets,226.0,301.0,2545.0,983.0,21.0,16.0,3146.0,1025.0,3528.0,4171.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
14,16,Sun,1.0,5.0,1.0,Pittsburgh Steelers,2019,Jets,247.0,343.0,2752.0,1086.0,23.0,16.0,3358.0,1243.0,3838.0,4601.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
15,17,Sun,1.0,6.0,0.0,Buffalo Bills,2019,Jets,263.0,353.0,2926.0,1171.0,24.0,18.0,3543.0,1318.0,4097.0,4861.0,0,Adam Gase,Dowell Loggains,Gregg Williams,Sam Darnold
16,1,Mon,1.0,0.0,0.0,Detroit Lions,2018,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
17,2,Sun,0.0,1.0,1.0,Miami Dolphins,2018,Jets,48.0,17.0,180.0,169.0,2.0,5.0,300.0,39.0,349.0,339.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
18,3,Thu,0.0,1.0,0.0,Cleveland Browns,2018,Jets,60.0,37.0,500.0,211.0,5.0,7.0,422.0,174.0,711.0,596.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
19,4,Sun,0.0,1.0,0.0,Jacksonville Jaguars,2018,Jets,77.0,58.0,661.0,318.0,8.0,7.0,612.0,307.0,979.0,919.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
20,5,Sun,1.0,1.0,1.0,Denver Broncos,2018,Jets,89.0,89.0,805.0,352.0,8.0,10.0,989.0,433.0,1157.0,1422.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
21,6,Sun,1.0,2.0,1.0,Indianapolis Colts,2018,Jets,123.0,105.0,994.0,675.0,10.0,11.0,1333.0,525.0,1669.0,1858.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
22,7,Sun,0.0,3.0,1.0,Minnesota Vikings,2018,Jets,165.0,139.0,1261.0,782.0,12.0,15.0,1634.0,652.0,2043.0,2286.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
23,8,Sun,0.0,3.0,0.0,Chicago Bears,2018,Jets,182.0,176.0,1453.0,853.0,16.0,15.0,1862.0,740.0,2306.0,2602.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
24,9,Sun,0.0,3.0,0.0,Miami Dolphins,2018,Jets,192.0,200.0,1603.0,910.0,16.0,15.0,2078.0,919.0,2513.0,2997.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
25,10,Sun,0.0,3.0,1.0,Buffalo Bills,2018,Jets,198.0,213.0,1805.0,990.0,20.0,15.0,2182.0,983.0,2795.0,3165.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
26,12,Sun,0.0,3.0,1.0,New England Patriots,2018,Jets,208.0,254.0,1921.0,1073.0,22.0,15.0,2421.0,1195.0,2994.0,3616.0,1,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
27,13,Sun,0.0,3.0,0.0,Tennessee Titans,2018,Jets,221.0,281.0,2185.0,1147.0,23.0,15.0,2704.0,1410.0,3332.0,4114.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
28,14,Sun,1.0,3.0,0.0,Buffalo Bills,2018,Jets,243.0,307.0,2309.0,1303.0,24.0,16.0,2977.0,1540.0,3612.0,4517.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
29,15,Sat,0.0,4.0,1.0,Houston Texans,2018,Jets,270.0,330.0,2479.0,1381.0,26.0,19.0,3169.0,1716.0,3860.0,4885.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
30,16,Sun,0.0,4.0,1.0,Green Bay Packers,2018,Jets,292.0,359.0,2707.0,1471.0,27.0,19.0,3408.0,1763.0,4178.0,5171.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
31,17,Sun,0.0,4.0,0.0,New England Patriots,2018,Jets,330.0,403.0,3030.0,1518.0,27.0,20.0,3821.0,1890.0,4548.0,5711.0,0,Todd Bowles,Jeremy Bates,Kacy Rodgers,Sam Darnold
32,1,Sun,0.0,0.0,0.0,Buffalo Bills,2017,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
33,2,Sun,0.0,0.0,0.0,Oakland Raiders,2017,Jets,12.0,21.0,176.0,38.0,2.0,1.0,218.0,190.0,214.0,408.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
34,3,Sun,1.0,0.0,1.0,Miami Dolphins,2017,Jets,32.0,66.0,321.0,164.0,4.0,1.0,448.0,370.0,485.0,818.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
35,4,Sun,1.0,1.0,1.0,Jacksonville Jaguars,2017,Jets,52.0,72.0,554.0,267.0,5.0,3.0,643.0,400.0,821.0,1043.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
36,5,Sun,1.0,2.0,0.0,Cleveland Browns,2017,Jets,75.0,92.0,769.0,523.0,7.0,4.0,779.0,575.0,1292.0,1354.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
37,6,Sun,0.0,3.0,1.0,New England Patriots,2017,Jets,92.0,106.0,947.0,557.0,8.0,7.0,1058.0,715.0,1504.0,1773.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
38,7,Sun,0.0,3.0,0.0,Miami Dolphins,2017,Jets,109.0,130.0,1281.0,631.0,11.0,9.0,1315.0,833.0,1912.0,2148.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
39,8,Sun,0.0,3.0,1.0,Atlanta Falcons,2017,Jets,137.0,161.0,1461.0,723.0,13.0,11.0,1619.0,886.0,2184.0,2505.0,0,Todd Bowles,John Morton,Kacy Rodgers,Josh McCown
