,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Arizona Cardinals,2019,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
1,2,Sun,1.0,0.0,1.0,Los Angeles Chargers,2019,Lions,27.0,27.0,361.0,116.0,2.0,1.0,275.0,112.0,477.0,387.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
2,3,Sun,1.0,1.0,0.0,Philadelphia Eagles,2019,Lions,40.0,37.0,606.0,210.0,4.0,3.0,562.0,249.0,816.0,811.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
3,4,Sun,0.0,2.0,1.0,Kansas City Chiefs,2019,Lions,67.0,61.0,807.0,296.0,4.0,5.0,808.0,376.0,1103.0,1184.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
4,6,Mon,0.0,2.0,0.0,Green Bay Packers,2019,Lions,97.0,95.0,1068.0,482.0,6.0,8.0,1123.0,499.0,1550.0,1622.0,1,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
5,7,Sun,0.0,2.0,1.0,Minnesota Vikings,2019,Lions,119.0,118.0,1311.0,538.0,6.0,11.0,1400.0,669.0,1849.0,2069.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
6,8,Sun,1.0,2.0,1.0,New York Giants,2019,Lions,149.0,160.0,1663.0,619.0,7.0,11.0,1738.0,835.0,2282.0,2573.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
7,9,Sun,0.0,3.0,0.0,Oakland Raiders,2019,Lions,180.0,186.0,1979.0,678.0,9.0,12.0,2028.0,915.0,2657.0,2943.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
8,10,Sun,0.0,3.0,0.0,Chicago Bears,2019,Lions,204.0,217.0,2362.0,768.0,11.0,12.0,2307.0,1086.0,3130.0,3393.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
9,11,Sun,0.0,3.0,1.0,Dallas Cowboys,2019,Lions,217.0,237.0,2621.0,866.0,12.0,12.0,2452.0,1167.0,3487.0,3619.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
10,12,Sun,0.0,3.0,0.0,Washington Redskins,2019,Lions,244.0,272.0,2812.0,987.0,12.0,13.0,2886.0,1242.0,3799.0,4128.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
11,13,Thu,0.0,3.0,1.0,Chicago Bears,2019,Lions,260.0,291.0,3001.0,1162.0,16.0,15.0,3030.0,1328.0,4163.0,4358.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
12,14,Sun,0.0,3.0,0.0,Minnesota Vikings,2019,Lions,280.0,315.0,3260.0,1267.0,17.0,16.0,3361.0,1416.0,4527.0,4777.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
13,15,Sun,0.0,3.0,1.0,Tampa Bay Buccaneers,2019,Lions,287.0,335.0,3421.0,1337.0,19.0,16.0,3595.0,1536.0,4758.0,5131.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
14,16,Sun,0.0,3.0,0.0,Denver Broncos,2019,Lions,304.0,373.0,3671.0,1382.0,22.0,17.0,4041.0,1585.0,5053.0,5626.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
15,17,Sun,0.0,3.0,1.0,Green Bay Packers,2019,Lions,321.0,400.0,3766.0,1478.0,22.0,17.0,4239.0,1735.0,5244.0,5974.0,0,Matt Patricia,Darrell Bevell,Paul Pasqualoni,Matthew Stafford
16,1,Mon,0.0,0.0,1.0,New York Jets,2018,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
17,2,Sun,0.0,0.0,0.0,San Francisco 49ers,2018,Lions,17.0,48.0,300.0,39.0,5.0,2.0,180.0,169.0,339.0,349.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
18,3,Sun,1.0,0.0,1.0,New England Patriots,2018,Lions,44.0,78.0,629.0,137.0,6.0,2.0,336.0,359.0,766.0,695.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
19,4,Sun,0.0,1.0,0.0,Dallas Cowboys,2018,Lions,70.0,88.0,884.0,296.0,7.0,3.0,456.0,448.0,1180.0,904.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
20,5,Sun,1.0,1.0,1.0,Green Bay Packers,2018,Lions,94.0,114.0,1170.0,392.0,7.0,3.0,687.0,631.0,1562.0,1318.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
21,7,Sun,1.0,2.0,0.0,Miami Dolphins,2018,Lions,125.0,137.0,1340.0,486.0,7.0,6.0,1110.0,729.0,1826.0,1839.0,1,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
22,8,Sun,0.0,3.0,1.0,Seattle Seahawks,2018,Lions,157.0,158.0,1549.0,734.0,7.0,6.0,1325.0,836.0,2283.0,2161.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
23,9,Sun,0.0,3.0,0.0,Minnesota Vikings,2018,Lions,171.0,186.0,1846.0,768.0,10.0,6.0,1562.0,1012.0,2614.0,2574.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
24,10,Sun,0.0,3.0,0.0,Chicago Bears,2018,Lions,180.0,210.0,1989.0,834.0,11.0,8.0,1717.0,1140.0,2823.0,2857.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
25,11,Sun,1.0,3.0,1.0,Carolina Panthers,2018,Lions,202.0,244.0,2218.0,910.0,14.0,8.0,2065.0,1194.0,3128.0,3259.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
26,12,Thu,0.0,4.0,1.0,Chicago Bears,2018,Lions,222.0,263.0,2433.0,1004.0,14.0,9.0,2396.0,1250.0,3437.0,3646.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
27,13,Sun,0.0,4.0,1.0,Los Angeles Rams,2018,Lions,238.0,286.0,2655.0,1115.0,16.0,10.0,2622.0,1288.0,3770.0,3910.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
28,14,Sun,1.0,4.0,0.0,Arizona Cardinals,2018,Lions,254.0,316.0,2863.0,1217.0,18.0,12.0,2817.0,1437.0,4080.0,4254.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
29,15,Sun,0.0,5.0,0.0,Buffalo Bills,2018,Lions,271.0,319.0,2959.0,1339.0,19.0,13.0,3035.0,1498.0,4298.0,4533.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
30,16,Sun,0.0,5.0,1.0,Minnesota Vikings,2018,Lions,284.0,333.0,3167.0,1444.0,19.0,13.0,3230.0,1615.0,4611.0,4845.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
31,17,Sun,1.0,5.0,0.0,Green Bay Packers,2018,Lions,293.0,360.0,3304.0,1530.0,19.0,13.0,3470.0,1715.0,4834.0,5185.0,0,Matt Patricia,Jim Bob Cooter,Paul Pasqualoni,Matthew Stafford
32,1,Sun,1.0,0.0,1.0,Arizona Cardinals,2017,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Jim Caldwell,Jim Bob Cooter,Teryl Austin,Matthew Stafford
33,2,Mon,1.0,1.0,0.0,New York Giants,2017,Lions,35.0,23.0,285.0,82.0,1.0,4.0,263.0,45.0,367.0,308.0,0,Jim Caldwell,Jim Bob Cooter,Teryl Austin,Matthew Stafford
