,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,0.0,Minnesota Vikings,2020,Packers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
1,2,Sun,1.0,1.0,1.0,Detroit Lions,2020,Packers,43.0,34.0,364.0,158.0,0.0,1.0,248.0,134.0,522.0,382.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
2,3,Sun,1.0,2.0,0.0,New Orleans Saints,2020,Packers,85.0,55.0,593.0,417.0,0.0,2.0,466.0,223.0,1010.0,689.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
3,4,Mon,1.0,3.0,1.0,Atlanta Falcons,2020,Packers,122.0,85.0,864.0,515.0,0.0,3.0,741.0,345.0,1379.0,1086.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
4,6,Sun,,,0.0,Tampa Bay Buccaneers,2020,Packers,152.0,101.0,1179.0,603.0,0.0,3.0,990.0,423.0,1782.0,1413.0,1,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
5,7,Sun,,,0.0,Houston Texans,2020,Packers,152.0,101.0,1179.0,603.0,0.0,3.0,990.0,423.0,1782.0,1413.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
6,8,Sun,,,1.0,Minnesota Vikings,2020,Packers,152.0,101.0,1179.0,603.0,0.0,3.0,990.0,423.0,1782.0,1413.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
7,9,Thu,,,0.0,San Francisco 49ers,2020,Packers,152.0,101.0,1179.0,603.0,0.0,3.0,990.0,423.0,1782.0,1413.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
8,10,Sun,,,1.0,Jacksonville Jaguars,2020,Packers,152.0,101.0,1179.0,603.0,0.0,3.0,990.0,423.0,1782.0,1413.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
9,11,Sun,,,0.0,Indianapolis Colts,2020,Packers,152.0,101.0,1179.0,603.0,0.0,3.0,990.0,423.0,1782.0,1413.0,0,Matt LaFleur,Nathaniel Hackett,Mike Pettine,Aaron Rodgers
