,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,1.0,Dallas Cowboys,2020,Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
1,2,Sun,1.0,1.0,0.0,Philadelphia Eagles,2020,Rams,20.0,17.0,269.0,153.0,1.0,0.0,244.0,136.0,422.0,380.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
2,3,Sun,0.0,2.0,0.0,Buffalo Bills,2020,Rams,57.0,36.0,527.0,344.0,2.0,3.0,486.0,257.0,871.0,743.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
3,4,Sun,1.0,2.0,1.0,New York Giants,2020,Rams,89.0,71.0,838.0,511.0,4.0,5.0,760.0,358.0,1349.0,1118.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
4,5,Sun,,,0.0,Washington Football Team,2020,Rams,106.0,80.0,1020.0,569.0,5.0,6.0,919.0,494.0,1589.0,1413.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
5,6,Sun,,,0.0,San Francisco 49ers,2020,Rams,106.0,80.0,1020.0,569.0,5.0,6.0,919.0,494.0,1589.0,1413.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
6,7,Mon,,,1.0,Chicago Bears,2020,Rams,106.0,80.0,1020.0,569.0,5.0,6.0,919.0,494.0,1589.0,1413.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
7,8,Sun,,,0.0,Miami Dolphins,2020,Rams,106.0,80.0,1020.0,569.0,5.0,6.0,919.0,494.0,1589.0,1413.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
8,10,Sun,,,1.0,Seattle Seahawks,2020,Rams,106.0,80.0,1020.0,569.0,5.0,6.0,919.0,494.0,1589.0,1413.0,1,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
9,11,Mon,,,0.0,Tampa Bay Buccaneers,2020,Rams,106.0,80.0,1020.0,569.0,5.0,6.0,919.0,494.0,1589.0,1413.0,0,Sean McVay,Kevin O'Connell,Brandon Staley,Jared Goff
