,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,1.0,Cleveland Browns,2020,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
1,2,Sun,1.0,1.0,0.0,Houston Texans,2020,Ravens,38.0,6.0,270.0,111.0,1.0,3.0,168.0,138.0,381.0,306.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
2,3,Mon,0.0,2.0,1.0,Kansas City Chiefs,2020,Ravens,71.0,22.0,447.0,341.0,1.0,5.0,421.0,189.0,788.0,610.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
3,4,Sun,1.0,2.0,0.0,Washington Football Team,2020,Ravens,91.0,56.0,517.0,499.0,2.0,6.0,806.0,321.0,1016.0,1127.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
4,5,Sun,,,1.0,Cincinnati Bengals,2020,Ravens,122.0,73.0,723.0,643.0,4.0,7.0,1080.0,390.0,1366.0,1470.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
5,6,Sun,,,0.0,Philadelphia Eagles,2020,Ravens,122.0,73.0,723.0,643.0,4.0,7.0,1080.0,390.0,1366.0,1470.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
6,8,Sun,,,1.0,Pittsburgh Steelers,2020,Ravens,122.0,73.0,723.0,643.0,4.0,7.0,1080.0,390.0,1366.0,1470.0,1,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
7,9,Sun,,,0.0,Indianapolis Colts,2020,Ravens,122.0,73.0,723.0,643.0,4.0,7.0,1080.0,390.0,1366.0,1470.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
8,10,Sun,,,0.0,New England Patriots,2020,Ravens,122.0,73.0,723.0,643.0,4.0,7.0,1080.0,390.0,1366.0,1470.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
9,11,Sun,,,1.0,Tennessee Titans,2020,Ravens,122.0,73.0,723.0,643.0,4.0,7.0,1080.0,390.0,1366.0,1470.0,0,John Harbaugh,Greg Roman,Don Martindale,Lamar Jackson
