,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,1.0,Tampa Bay Buccaneers,2020,Saints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
1,2,Mon,0.0,1.0,0.0,Las Vegas Raiders,2020,Saints,34.0,23.0,189.0,82.0,0.0,3.0,224.0,86.0,271.0,310.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
2,3,Sun,0.0,1.0,1.0,Green Bay Packers,2020,Saints,58.0,57.0,501.0,194.0,1.0,4.0,485.0,202.0,695.0,687.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
3,4,Sun,1.0,1.0,0.0,Detroit Lions,2020,Saints,88.0,94.0,776.0,316.0,2.0,4.0,756.0,300.0,1092.0,1056.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
4,5,Mon,,,1.0,Los Angeles Chargers,2020,Saints,123.0,123.0,1004.0,480.0,3.0,5.0,947.0,390.0,1484.0,1337.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
5,7,Sun,,,1.0,Carolina Panthers,2020,Saints,123.0,123.0,1004.0,480.0,3.0,5.0,947.0,390.0,1484.0,1337.0,1,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
6,8,Sun,,,0.0,Chicago Bears,2020,Saints,123.0,123.0,1004.0,480.0,3.0,5.0,947.0,390.0,1484.0,1337.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
7,9,Sun,,,0.0,Tampa Bay Buccaneers,2020,Saints,123.0,123.0,1004.0,480.0,3.0,5.0,947.0,390.0,1484.0,1337.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
8,10,Sun,,,1.0,San Francisco 49ers,2020,Saints,123.0,123.0,1004.0,480.0,3.0,5.0,947.0,390.0,1484.0,1337.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
9,11,Sun,,,1.0,Atlanta Falcons,2020,Saints,123.0,123.0,1004.0,480.0,3.0,5.0,947.0,390.0,1484.0,1337.0,0,Sean Payton,Pete Carmichael,Dennis Allen,Drew Brees
