,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,0.0,Atlanta Falcons,2020,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
1,2,Sun,1.0,1.0,1.0,New England Patriots,2020,Seahawks,38.0,25.0,299.0,84.0,0.0,2.0,434.0,72.0,383.0,506.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
2,3,Sun,1.0,2.0,1.0,Dallas Cowboys,2020,Seahawks,73.0,55.0,574.0,238.0,1.0,3.0,831.0,139.0,812.0,970.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
3,4,Sun,1.0,3.0,0.0,Miami Dolphins,2020,Seahawks,111.0,86.0,869.0,355.0,2.0,6.0,1292.0,200.0,1224.0,1492.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
4,5,Sun,,,1.0,Minnesota Vikings,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
5,7,Sun,,,0.0,Arizona Cardinals,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,1,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
6,8,Sun,,,1.0,San Francisco 49ers,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
7,9,Sun,,,0.0,Buffalo Bills,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
8,10,Sun,,,0.0,Los Angeles Rams,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
9,11,Thu,,,1.0,Arizona Cardinals,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
10,12,Mon,,,0.0,Philadelphia Eagles,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
11,13,Sun,,,1.0,New York Giants,2020,Seahawks,142.0,109.0,1212.0,453.0,3.0,8.0,1604.0,303.0,1665.0,1907.0,0,Pete Carroll,Brian Schottenheimer,Ken Norton,Russell Wilson
