,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Thu,0.0,0.0,0.0,Kansas City Chiefs,2020,Texans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
1,2,Sun,0.0,0.0,1.0,Baltimore Ravens,2020,Texans,20.0,34.0,242.0,118.0,1.0,0.0,203.0,166.0,360.0,369.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
2,3,Sun,0.0,0.0,0.0,Pittsburgh Steelers,2020,Texans,36.0,67.0,495.0,169.0,3.0,0.0,380.0,396.0,664.0,776.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
3,4,Sun,0.0,0.0,1.0,Minnesota Vikings,2020,Texans,57.0,95.0,726.0,198.0,4.0,0.0,598.0,565.0,924.0,1163.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
4,5,Sun,,,1.0,Jacksonville Jaguars,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
5,6,Sun,,,0.0,Tennessee Titans,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
6,7,Sun,,,1.0,Green Bay Packers,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
7,9,Sun,,,0.0,Jacksonville Jaguars,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,1,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
8,10,Sun,,,0.0,Cleveland Browns,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
9,11,Sun,,,1.0,New England Patriots,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
10,12,Thu,,,0.0,Detroit Lions,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
11,13,Sun,,,1.0,Indianapolis Colts,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
12,14,Sun,,,0.0,Chicago Bears,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
13,15,Sun,,,0.0,Indianapolis Colts,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
14,16,Sun,,,1.0,Cincinnati Bengals,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
15,17,Sun,,,1.0,Tennessee Titans,2020,Texans,80.0,126.0,1016.0,294.0,5.0,0.0,846.0,727.0,1310.0,1573.0,0,Bill O'Brien,Tim Kelly,Anthony Weaver,Deshaun Watson
16,1,Mon,0.0,0.0,0.0,New Orleans Saints,2019,Texans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
17,2,Sun,1.0,0.0,1.0,Jacksonville Jaguars,2019,Texans,28.0,30.0,234.0,180.0,1.0,1.0,362.0,148.0,414.0,510.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
18,3,Sun,1.0,1.0,0.0,Los Angeles Chargers,2019,Texans,41.0,42.0,371.0,306.0,1.0,2.0,540.0,251.0,677.0,791.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
19,4,Sun,0.0,2.0,1.0,Carolina Panthers,2019,Texans,68.0,62.0,708.0,345.0,2.0,3.0,833.0,324.0,1053.0,1157.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
20,5,Sun,1.0,2.0,1.0,Atlanta Falcons,2019,Texans,78.0,78.0,836.0,481.0,4.0,6.0,1036.0,418.0,1317.0,1454.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
21,6,Sun,1.0,3.0,0.0,Kansas City Chiefs,2019,Texans,131.0,110.0,1262.0,647.0,5.0,7.0,1352.0,475.0,1909.0,1827.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
22,7,Sun,0.0,4.0,0.0,Indianapolis Colts,2019,Texans,162.0,134.0,1542.0,839.0,8.0,9.0,1608.0,528.0,2381.0,2136.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
23,8,Sun,1.0,4.0,1.0,Oakland Raiders,2019,Texans,185.0,164.0,1833.0,939.0,10.0,10.0,1929.0,590.0,2772.0,2519.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
24,9,Sun,1.0,5.0,0.0,Jacksonville Jaguars,2019,Texans,212.0,188.0,2091.0,1069.0,10.0,10.0,2214.0,683.0,3160.0,2897.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
25,11,Sun,0.0,6.0,0.0,Baltimore Ravens,2019,Texans,238.0,191.0,2285.0,1285.0,11.0,14.0,2496.0,757.0,3570.0,3253.0,1,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
26,12,Thu,1.0,6.0,1.0,Indianapolis Colts,2019,Texans,245.0,232.0,2395.0,1407.0,13.0,14.0,2731.0,1013.0,3802.0,3744.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
27,13,Sun,1.0,7.0,1.0,New England Patriots,2019,Texans,265.0,249.0,2692.0,1506.0,14.0,14.0,2852.0,1188.0,4198.0,4040.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
28,14,Sun,0.0,8.0,1.0,Denver Broncos,2019,Texans,293.0,271.0,2916.0,1558.0,14.0,15.0,3155.0,1333.0,4474.0,4488.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
29,15,Sun,1.0,8.0,0.0,Tennessee Titans,2019,Texans,317.0,309.0,3196.0,1692.0,17.0,16.0,3456.0,1423.0,4888.0,4879.0,0,Bill O'Brien,Tim Kelly,Romeo Crennel,Deshaun Watson
