,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,1.0,0.0,1.0,Atlanta Falcons,2019,Vikings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
1,2,Sun,0.0,1.0,0.0,Green Bay Packers,2019,Vikings,28.0,12.0,97.0,172.0,0.0,3.0,272.0,73.0,269.0,345.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
2,3,Sun,1.0,1.0,1.0,Oakland Raiders,2019,Vikings,44.0,33.0,320.0,370.0,4.0,5.0,463.0,217.0,690.0,680.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
3,4,Sun,0.0,2.0,0.0,Chicago Bears,2019,Vikings,78.0,47.0,494.0,581.0,4.0,6.0,677.0,305.0,1075.0,982.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
4,5,Sun,1.0,2.0,0.0,New York Giants,2019,Vikings,84.0,63.0,676.0,621.0,6.0,6.0,874.0,377.0,1297.0,1251.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
5,6,Sun,1.0,3.0,1.0,Philadelphia Eagles,2019,Vikings,112.0,73.0,955.0,832.0,7.0,7.0,1021.0,441.0,1787.0,1462.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
6,7,Sun,1.0,4.0,0.0,Detroit Lions,2019,Vikings,150.0,93.0,1280.0,954.0,9.0,10.0,1313.0,549.0,2234.0,1862.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
7,8,Thu,1.0,5.0,1.0,Washington Redskins,2019,Vikings,192.0,123.0,1618.0,1120.0,9.0,11.0,1665.0,630.0,2738.0,2295.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
8,9,Sun,0.0,6.0,0.0,Kansas City Chiefs,2019,Vikings,211.0,132.0,1891.0,1281.0,10.0,13.0,1796.0,715.0,3172.0,2511.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
9,10,Sun,1.0,6.0,0.0,Dallas Cowboys,2019,Vikings,234.0,158.0,2103.0,1377.0,10.0,14.0,2026.0,862.0,3480.0,2888.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
10,11,Sun,1.0,7.0,1.0,Denver Broncos,2019,Vikings,262.0,182.0,2314.0,1530.0,10.0,15.0,2419.0,912.0,3844.0,3331.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
11,13,Mon,0.0,8.0,0.0,Seattle Seahawks,2019,Vikings,289.0,205.0,2598.0,1567.0,12.0,16.0,2689.0,1036.0,4165.0,3725.0,1,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
12,14,Sun,1.0,8.0,1.0,Detroit Lions,2019,Vikings,319.0,242.0,2874.0,1645.0,15.0,18.0,2915.0,1254.0,4519.0,4169.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
13,15,Sun,1.0,9.0,0.0,Los Angeles Chargers,2019,Vikings,339.0,249.0,3108.0,1765.0,15.0,20.0,3076.0,1324.0,4873.0,4400.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
14,16,Mon,0.0,10.0,1.0,Green Bay Packers,2019,Vikings,378.0,259.0,3315.0,1902.0,16.0,27.0,3359.0,1386.0,5217.0,4745.0,0,Mike Zimmer,Kevin Stefanski,George Edwards,Kirk Cousins
15,17,Sun,0.0,10.0,1.0,Chicago Bears,2019,Vikings,388.0,282.0,3397.0,1959.0,17.0,30.0,3558.0,1570.0,5356.0,5128.0,0,Sean Mannion,Kevin Stefanski,George Edwards,Kirk Cousins
16,1,Sun,1.0,0.0,1.0,San Francisco 49ers,2018,Vikings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
17,2,Sun,0.0,1.0,0.0,Green Bay Packers,2018,Vikings,24.0,16.0,227.0,116.0,1.0,4.0,237.0,90.0,343.0,327.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
18,3,Sun,0.0,1.0,1.0,Buffalo Bills,2018,Vikings,53.0,45.0,639.0,184.0,2.0,4.0,490.0,188.0,823.0,678.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
19,4,Thu,0.0,1.0,0.0,Los Angeles Rams,2018,Vikings,59.0,72.0,917.0,198.0,5.0,4.0,654.0,316.0,1115.0,970.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
20,5,Sun,1.0,1.0,0.0,Philadelphia Eagles,2018,Vikings,90.0,110.0,1309.0,252.0,6.0,4.0,1110.0,416.0,1561.0,1526.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
21,6,Sun,1.0,2.0,1.0,Arizona Cardinals,2018,Vikings,113.0,131.0,1607.0,329.0,7.0,6.0,1393.0,497.0,1936.0,1890.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
22,7,Sun,1.0,3.0,0.0,New York Jets,2018,Vikings,140.0,148.0,1823.0,524.0,9.0,8.0,1601.0,557.0,2347.0,2158.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
23,8,Sun,0.0,4.0,1.0,New Orleans Saints,2018,Vikings,177.0,165.0,2051.0,612.0,9.0,12.0,1793.0,628.0,2663.0,2421.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
24,9,Sun,1.0,4.0,1.0,Detroit Lions,2018,Vikings,197.0,195.0,2389.0,697.0,11.0,13.0,1957.0,734.0,3086.0,2691.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
25,11,Sun,0.0,5.0,0.0,Chicago Bears,2018,Vikings,221.0,204.0,2544.0,825.0,13.0,14.0,2100.0,800.0,3369.0,2900.0,1,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
26,12,Sun,1.0,5.0,1.0,Green Bay Packers,2018,Vikings,241.0,229.0,2790.0,847.0,16.0,17.0,2260.0,948.0,3637.0,3208.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
27,13,Sun,0.0,6.0,0.0,New England Patriots,2018,Vikings,265.0,246.0,3115.0,938.0,16.0,18.0,2432.0,1030.0,4053.0,3462.0,0,Mike Zimmer,John DeFilippo,George Edwards,Kirk Cousins
