,Week,Day,Results,Wins Tally,Home,Opp,year,Base_Team,PF Tally,PA Tally,OPassY Tally,ORushY Tally,TO_lost Tally,TO_won Tally,DPassY Tally,DRushY Tally,OTotYd Tally,DTotYd Tally,after_bye,Head_Coach,OC,DC,QB
0,1,Sun,0.0,0.0,0.0,Philadelphia Eagles,2019,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
1,2,Sun,0.0,0.0,1.0,Dallas Cowboys,2019,Washington,27.0,32.0,370.0,28.0,0.0,0.0,313.0,123.0,398.0,436.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
2,3,Mon,0.0,0.0,1.0,Chicago Bears,2019,Washington,48.0,63.0,578.0,75.0,0.0,1.0,574.0,336.0,653.0,910.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
3,4,Sun,0.0,0.0,0.0,New York Giants,2019,Washington,63.0,94.0,865.0,144.0,5.0,2.0,782.0,426.0,1009.0,1208.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
4,5,Sun,0.0,0.0,1.0,New England Patriots,2019,Washington,66.0,118.0,986.0,199.0,9.0,6.0,1007.0,590.0,1185.0,1597.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Colt McCoy
5,6,Sun,1.0,0.0,0.0,Miami Dolphins,2019,Washington,73.0,151.0,1064.0,344.0,11.0,7.0,1319.0,720.0,1408.0,2039.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
6,7,Sun,0.0,1.0,1.0,San Francisco 49ers,2019,Washington,90.0,167.0,1230.0,489.0,11.0,9.0,1506.0,804.0,1719.0,2310.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
7,8,Thu,0.0,1.0,0.0,Minnesota Vikings,2019,Washington,90.0,176.0,1280.0,593.0,12.0,10.0,1652.0,941.0,1873.0,2593.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
8,9,Sun,0.0,1.0,0.0,Buffalo Bills,2019,Washington,99.0,195.0,1411.0,678.0,14.0,11.0,1925.0,1102.0,2089.0,3027.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
9,11,Sun,0.0,1.0,1.0,New York Jets,2019,Washington,108.0,219.0,1527.0,805.0,14.0,11.0,2071.0,1224.0,2332.0,3295.0,1,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
10,12,Sun,1.0,1.0,1.0,Detroit Lions,2019,Washington,125.0,253.0,1698.0,859.0,15.0,13.0,2356.0,1339.0,2557.0,3695.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
11,13,Sun,1.0,2.0,0.0,Carolina Panthers,2019,Washington,144.0,269.0,1842.0,945.0,17.0,17.0,2545.0,1514.0,2787.0,4059.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
12,14,Sun,0.0,3.0,0.0,Green Bay Packers,2019,Washington,173.0,290.0,1956.0,1193.0,17.0,19.0,2758.0,1579.0,3149.0,4337.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
13,15,Sun,0.0,3.0,1.0,Philadelphia Eagles,2019,Washington,188.0,310.0,2097.0,1314.0,18.0,20.0,2925.0,1753.0,3411.0,4678.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
14,16,Sun,0.0,3.0,1.0,New York Giants,2019,Washington,215.0,347.0,2348.0,1415.0,19.0,21.0,3183.0,1910.0,3763.0,5093.0,0,Jay Gruden,Kevin O'Connell,Greg Manusky,Case Keenum
